"﻿OBJECTID";"PLANT_STRUCTURE_NUMBER";"TRAFFIC_TYPES_DESCRIPTION";"SECTION_TYPES_DESCRIPTION";"LOCATIONS_DESCRIPTION";"BIKEWAY_ON_OFF_ROAD_DESC";"BIKEWAY_WIDTH";"STREET_NAME";"SUBURB";"OWNER";"SHAPE_Length"
"3824161";"BK9003S00060";"BICYCLE LANE";"ASPHALT";"ON PAVEMENT";"ON ROAD";"6";"LONG ST";"HENDRA";"BCC";"83.1857992147767"
"3824163";"BK9003S00092";"BICYCLE LANE";"ASPHALT";"ON PAVEMENT";"ON ROAD";"100";"NUDGEE RD";"HENDRA";"BCC";"84.3307911464435"
"3824165";"BK9004S00117";"BICYCLE LANE";"ASPHALT";"ON PAVEMENT";"ON ROAD";"2.5";"COMMERCIAL RD";"TENERIFFE";"BCC";"208.057482133682"

