ID;HASTUS;DESCRIPTION;STREETNAME;NEAREST_CROSS_STREET;EASTING;NORTHING;LATITUDE;LONGITUDE;SUBURB;BUS_STOP_TYPE;TACTILE_GROUND_SURF_INDICAT_Y_N;BOARDING_POINT;ROAD_GRADIENT;CROSS_FALL;DATE_OF_LAST_AUDIT;x;y
1;4;Turbot St F/S Wharf St (Stop 4);TURBOT ST;Wharf St;502805.7;6962247.3;-27.46330637;153.0283962;SPRING HILL;2 - Intermediate;N;Easy;Easy;Medium;2/06/2018 0:00;502805.7;6962247.3
2;5;Ann Street F/S Orient Hotel (Stop 5);ANN ST;Queen St;503022.1;6962290.4;-27.4629168;153.0305863;BRISBANE CITY;3 - Regular with seat;N;Medium;Medium;Hard;;503022.1;6962290.4
3;6;Ann St app Wharf St (Stop 6);ANN ST;Creek St;502880.6;6962169;-27.46401311;153.0291545;BRISBANE CITY;2 - Intermediate;Y;Easy;Easy;Easy;9/26/2017 12:00:00 AM;502880.6;6962169
4;7;Ann St at Anzac Square;ANN ST;Creek St;502623.587;6961944.047;-27.4660445;153.0265537;BRISBANE CITY;2 - Intermediate;Y;Easy;Easy;Easy;9/26/2017 12:00:00 AM;502623.587;6961944.047
5;8;Central Ann Street Stop 8;ANN ST;Edward St;502569.1;6961895;-27.4664874;153.0260024;BRISBANE CITY;2 - Intermediate;Y;Easy;Medium;Easy;3/14/2018 12:00:00 AM;502569.1;6961895
6;9;Ann St aT KGS ;ANN ST;Edward St;502466.1;6961808;-27.46727303;153.0249601;BRISBANE CITY;3 - Regular with seat;Y;Easy;Medium;Easy;9/26/2017 12:00:00 AM;502466.1;6961808
